OBJECTID,RouteIdentifier,BeginAccumulatedRouteMile,EndAccumulatedRouteMile,NationalHighwaySystem,Length,LRSDate,GlobalID,SHAPESTLength
6355,620002660i,2.69700002670288,3.48699998855591,1,0.790000021457672,2021/12/31 00:00:00+00,{E39D7297-9909-4303-84CD-21C229738CE3},4171.41964250321
6356,420008460i,0,0.570999979972839,1,0.570999979972839,2021/12/31 00:00:00+00,{E3FC2C2A-43F4-4810-98DA-E37ECE2D8636},3013.99297977133
6357,420004080i,5.31799983978271,5.68400001525879,1,0.36599999666214,2021/12/31 00:00:00+00,{E4B405F1-DAA9-4B68-B81C-7F6C71976303},1934.40216930514
6358,720001970i,0,0.987999975681305,1,0.987999975681305,2021/12/31 00:00:00+00,{E51AB8A7-AE61-455A-AA37-6DC53FEDF044},5219.31340954249
6359,860001660i,3.11299991607666,3.7260000705719,1,0.612999975681305,2021/12/31 00:00:00+00,{E52719BA-4790-4C2A-99EC-1EC46D5B6C43},3236.31154972735
6360,420009360i,0.560999989509583,1.98800003528595,1,1.42700004577637,2021/12/31 00:00:00+00,{E5361EB9-71E4-44CE-BDC4-A9A4B0718601},7534.88954247278
6361,620003980i,1.99699997901917,2.58400011062622,1,0.587000012397766,2021/12/31 00:00:00+00,{E5617B47-320C-4882-9865-6BB2FA6CBA41},3100.90515757648
6362,440001190i,0.448000013828278,0.554000020027161,1,0.105999998748302,2021/12/31 00:00:00+00,{E61CA45B-4BE4-4C42-93D4-7A04A3C9E957},559.229856462371
6363,620000870i,7.32100009918213,7.8270001411438,1,0.505999982357025,2021/12/31 00:00:00+00,{E630A1C2-A129-474E-8AE5-DE3250BFF6E3},2672.61504847398
6364,720003820i,0,0.148000001907349,6,0.148000001907349,2021/12/31 00:00:00+00,{E64EEF11-FD33-4968-84C2-0BB204C30E2A},774.300396474366
6365,420004720i,0.609000027179718,0.931999981403351,1,0.323000013828278,2021/12/31 00:00:00+00,{E699756D-6EE6-4302-9EDA-098ADA2E7846},1704.6297564485
6366,620000670i,1.45200002193451,2.10999989509583,1,0.657999992370605,2021/12/31 00:00:00+00,{E7A4D6D7-82C6-42FD-8FE3-80FEA49DF9DD},3474.37388226471
6367,860001660i,1.92700004577637,2.1710000038147,1,0.244000002741814,2021/12/31 00:00:00+00,{E7BF3510-898C-4A01-91E8-9AFAA10D579C},1290.47034927571
6368,420004340i,0.0829999968409538,0.204999998211861,1,0.122000001370907,2021/12/31 00:00:00+00,{E9C23290-F65D-44A8-BE36-CCE3F44E2BAD},643.464293372067
6369,420002980i,1.71000003814697,3.63700008392334,1,1.92700004577637,2021/12/31 00:00:00+00,{E9FA6C98-E865-4FEA-B02D-319BBD370FED},10175.3226800629
6370,440001300i,0,0.365000009536743,1,0.365000009536743,2021/12/31 00:00:00+00,{EA887D7E-36EC-48F4-BFBD-D7FBF595EC3E},1928.40006075318
6371,420000020i,0,0.745999991893768,1,0.745999991893768,2021/12/31 00:00:00+00,{EB6267D6-4D58-45AB-902C-3BD671D7932C},3939.20212240484
6372,620002000i,6.27799987792969,6.53599977493286,1,0.257999986410141,2021/12/31 00:00:00+00,{EC64D91D-A5A4-4B32-83BF-4FCC304EF530},1362.45548565958
6373,420002450i,4.76300001144409,4.96099996566772,1,0.197999998927116,2021/12/31 00:00:00+00,{ECAFB980-98A0-4387-BAD2-997223987180},1043.40448376874
6374,420004950i,1.45500004291534,1.64699995517731,1,0.19200000166893,2021/12/31 00:00:00+00,{ECEB758E-3863-4916-85D8-279838915C69},1011.73580713832
