OBJECTID,RouteIdentifier,BeginAccumulatedRouteMile,EndAccumulatedRouteMile,DividedIndicator,SnapshotDate,BeginStateRouteMilepost,BeginAheadBackIndicator,EndStateRouteMilepost,EndAheadBackIndicator,LRSDate,SHAPESTLength
3161,090S127719i,0,0.730000019073486,N,2022/02/05 00:00:00+00,0,A,0.730000019073486,A,2021/12/31 00:00:00+00,3712.39400232546
3162,090S127602i,0,0.349999994039536,N,2022/02/05 00:00:00+00,0,A,0.349999994039536,A,2021/12/31 00:00:00+00,1792.96634775344
3163,104d,26.1599998474121,28.0699996948242,N,2022/02/05 00:00:00+00,26.2800006866455,A,28.1900005340576,A,2021/12/31 00:00:00+00,10126.7876094989
3164,090S127248i,0,0.389999985694885,N,2022/02/05 00:00:00+00,0,A,0.389999985694885,A,2021/12/31 00:00:00+00,2063.26163682508
3165,090S126391i,0,0.340000003576279,N,2022/02/05 00:00:00+00,0,A,0.340000003576279,A,2021/12/31 00:00:00+00,1863.73994759199
3166,090S125723i,0,0.479999989271164,N,2022/02/05 00:00:00+00,0,A,0.479999989271164,A,2021/12/31 00:00:00+00,2485.29201392196
3167,101P124610i,0,0.180000007152557,N,2022/02/05 00:00:00+00,0,A,0.180000007152557,A,2021/12/31 00:00:00+00,887.474607651696
3168,090S125352i,0,0.509999990463257,N,2022/02/05 00:00:00+00,0,A,0.509999990463257,A,2021/12/31 00:00:00+00,2566.87746833957
3169,090S123062i,0,0.649999976158142,N,2022/02/05 00:00:00+00,0,A,0.649999976158142,A,2021/12/31 00:00:00+00,3457.97883574518
3170,090S122590i,0,0.449999988079071,N,2022/02/05 00:00:00+00,0,A,0.449999988079071,A,2021/12/31 00:00:00+00,2394.52930082247
3171,101LX34512i,0,0.109999999403954,N,2022/02/05 00:00:00+00,0,A,0.109999999403954,A,2021/12/31 00:00:00+00,579.990471582297
3172,090S122013i,0,0.670000016689301,N,2022/02/05 00:00:00+00,0,A,0.670000016689301,A,2021/12/31 00:00:00+00,3448.2992433128
3173,090S121476i,0,0.490000009536743,N,2022/02/05 00:00:00+00,0,A,0.490000009536743,A,2021/12/31 00:00:00+00,2602.08131953548
3174,090S120636i,0,0.519999980926514,N,2022/02/05 00:00:00+00,0,A,0.519999980926514,A,2021/12/31 00:00:00+00,2690.76444155704
3175,090S119643i,0,0.5,N,2022/02/05 00:00:00+00,0,A,0.5,A,2021/12/31 00:00:00+00,2583.67001863574
3176,090S118844i,0,0.469999998807907,N,2022/02/05 00:00:00+00,0,A,0.469999998807907,A,2021/12/31 00:00:00+00,2452.45746230262
3177,090S118452i,0,0.379999995231628,N,2022/02/05 00:00:00+00,0,A,0.379999995231628,A,2021/12/31 00:00:00+00,2031.89446289584
3178,104i,31.6700000762939,31.7099990844727,Y,2022/02/05 00:00:00+00,32.2000007629395,A,32.2400016784668,A,2021/12/31 00:00:00+00,205.287140979853
3179,090W108031i,0,0.270000010728836,N,2022/02/05 00:00:00+00,0,A,0.270000010728836,A,2021/12/31 00:00:00+00,1405.0158888036
3180,090S117915i,0,0.25,N,2022/02/05 00:00:00+00,0,A,0.25,A,2021/12/31 00:00:00+00,1589.4852947108
3181,090S117567i,0,0.349999994039536,N,2022/02/05 00:00:00+00,0,A,0.349999994039536,A,2021/12/31 00:00:00+00,1823.30478461097
3182,090S116918i,0,0.479999989271164,N,2022/02/05 00:00:00+00,0,A,0.479999989271164,A,2021/12/31 00:00:00+00,2713.92692747317
3183,090S116416i,0,0.509999990463257,N,2022/02/05 00:00:00+00,0,A,0.509999990463257,A,2021/12/31 00:00:00+00,2703.28848395148
