OBJECTID,RouteIdentifier,StateRouteNumber,RelatedRouteType,RelatedRouteQualifier,BeginStateRouteMilepost,BeginAheadBackIndicator,EndStateRouteMilepost,EndAheadBackIndicator,BeginAccumulatedRouteMile,EndAccumulatedRouteMile,InventoryDirection,LRSDate,GlobalID,SHAPESTLength
12225,405Q100290,405,Q1,00290,0,A,0.779999971389771,A,0,0.779999971389771,I,2021/12/31 00:00:00+00,{A8D726AD-8034-464A-AA30-A0E1F9B21926},4048.15445763597
12226,509R102981B,509,R1,02981B,0,A,0.430000007152557,A,0,0.430000007152557,I,2021/12/31 00:00:00+00,{A9213EC1-E0A3-46C7-88F1-46773F5F9843},2153.68485468666
12227,205Q103117,205,Q1,03117,0,A,0.439999997615814,A,0,0.439999997615814,I,2021/12/31 00:00:00+00,{A92AADBC-B276-4708-8EF8-6442B494FF31},2404.28671041041
12228,405P101364,405,P1,01364,0,A,0.200000002980232,A,0,0.200000002980232,I,2021/12/31 00:00:00+00,{A9406372-E8A2-4C6A-9CB7-51B76E9D397D},1009.41471448655
12229,405Q100959,405,Q1,00959,0,A,0.330000013113022,A,0,0.330000013113022,I,2021/12/31 00:00:00+00,{A966E551-EE65-4D5A-9A90-362A277E6119},1754.10157162269
12230,526R100114,526,R1,00114,0,A,0.209999993443489,A,0,0.209999993443489,I,2021/12/31 00:00:00+00,{A96DCE43-C8F9-4182-B903-9626E3D9894E},1096.32959501924
12231,405R501808,405,R5,01808,0,A,0.219999998807907,A,0,0.219999998807907,I,2021/12/31 00:00:00+00,{AA1D3FAA-F388-47AA-AC4F-7047D1F62CA9},1212.96722013646
12232,090S110066,090,S1,10066,0,A,0.379999995231628,A,0,0.379999995231628,I,2021/12/31 00:00:00+00,{AA377638-EF54-4DD7-B291-D0F3680A4AD6},2060.19920062601
12233,395P108716,395,P1,08716,0,A,0.389999985694885,A,0,0.389999985694885,I,2021/12/31 00:00:00+00,{AA4C77E6-21AC-4334-AECF-D2A0745DD186},2054.54068889892
12234,405S101329,405,S1,01329,0,A,0.270000010728836,A,0,0.270000010728836,I,2021/12/31 00:00:00+00,{AA6E9E37-EEAE-414A-AAA9-A2A5E29C9980},1413.71551401619
12235,205Q102762,205,Q1,02762,0,A,0.779999971389771,A,0,0.779999971389771,I,2021/12/31 00:00:00+00,{AAA1EB75-0DA9-4835-BE4C-68BDFFD25ED0},4131.72272558285
12236,405S100060,405,S1,00060,0,A,0.469999998807907,A,0,0.469999998807907,I,2021/12/31 00:00:00+00,{AAA7F704-714C-49BE-B313-764B275CA8C7},2475.31892310445
12237,101P135321,101,P1,35321,0,A,0.310000002384186,A,0,0.310000002384186,I,2021/12/31 00:00:00+00,{AAC71C09-82E1-4BBA-AD88-9E94A794756E},1634.1489944541
12238,090S108272,090,S1,08272,0,A,0.469999998807907,A,0,0.469999998807907,I,2021/12/31 00:00:00+00,{AB6FEAB9-897B-4A57-B842-875DFFE2B914},2414.475410584
12239,395Q106690,395,Q1,06690,0,A,0.560000002384186,A,0,0.560000002384186,I,2021/12/31 00:00:00+00,{AC97C747-AE96-4479-A83F-3856CD0D262C},2955.9383988721
12240,405Q502734,405,Q5,02734,0,A,0.759999990463257,A,0,0.759999990463257,I,2021/12/31 00:00:00+00,{AC997806-ACC9-4D7D-A0CE-2D3E5B2ADE4F},3851.26096616958
12241,405R100330,405,R1,00330,0,A,0.469999998807907,A,0,0.469999998807907,I,2021/12/31 00:00:00+00,{ADA6CCB9-3537-4251-8432-30C07AED8277},2418.04092171354
12242,522P102291,522,P1,02291,0,A,0.310000002384186,A,0,0.310000002384186,I,2021/12/31 00:00:00+00,{AE07265E-0ECA-4B73-8E0F-B7ED2B3E0D6A},1732.37750002823
12243,240S503889,240,S5,03889,0,A,0.28999999165535,A,0,0.28999999165535,I,2021/12/31 00:00:00+00,{AE604EDD-6756-42CA-B55C-4A81CFC6ECDC},1546.68732738268
12244,090R128093,090,R1,28093,0,A,0.280000001192093,A,0,0.280000001192093,I,2021/12/31 00:00:00+00,{AE6A2D8E-1134-454C-9CFB-FF1FA53E830D},1523.86456432578
12245,090S121476,090,S1,21476,0,A,0.490000009536743,A,0,0.490000009536743,I,2021/12/31 00:00:00+00,{AE7FA6F3-E207-4921-B04B-2EA06FECA9B3},2602.08131953548
12246,432Q500966,432,Q5,00966,0,A,0.28999999165535,A,0,0.28999999165535,I,2021/12/31 00:00:00+00,{AEB76B71-2A09-4727-8BFF-D559D607AB91},1588.1882751804
12247,509R100280,509,R1,00280,0,A,0.449999988079071,A,0,0.449999988079071,I,2021/12/31 00:00:00+00,{AEC5044C-C30E-4564-874F-8982B789FEC5},2363.75578201749
12248,090P122155,090,P1,22155,0,A,0.389999985694885,A,0,0.389999985694885,I,2021/12/31 00:00:00+00,{AF676C10-84A8-4570-A8E3-DD54497D33D4},2000.27999849973
12249,090Q122691,090,Q1,22691,0,A,0.439999997615814,A,0,0.439999997615814,I,2021/12/31 00:00:00+00,{AF7A8214-F77E-48BA-A6E7-061BE17759AE},2138.44137262
12250,520S100564,520,S1,00564,0,A,0.620000004768372,A,0,0.620000004768372,I,2021/12/31 00:00:00+00,{AF8A5479-C424-4F16-9234-73EDD8FAC62C},3239.9334798575
12251,090Q128156,090,Q1,28156,0,A,0.379999995231628,A,0,0.379999995231628,I,2021/12/31 00:00:00+00,{AF96B908-44C3-41D8-A976-3BC228B06CB1},1962.20590994397
12252,104S100434,104,S1,00434,0,A,0.100000001490116,A,0,0.100000001490116,I,2021/12/31 00:00:00+00,{AFB8352A-A40E-435B-B8CE-F688F26FA03A},567.38058385768
12253,529R100540,529,R1,00540,0,A,0.0599999986588955,A,0,0.0599999986588955,I,2021/12/31 00:00:00+00,{B05ABB28-E429-4082-80B5-37F464F4B936},342.29371722986
12254,182R101461,182,R1,01461,0,A,0.680000007152557,A,0,0.680000007152557,I,2021/12/31 00:00:00+00,{B08DB3EB-2F1E-4840-AAE2-E55A99B62680},3651.07841625819
12255,082Q109417,082,Q1,09417,0,A,0.560000002384186,A,0,0.560000002384186,I,2021/12/31 00:00:00+00,{B0D003D7-808A-458A-A814-CB5F5D54376E},2978.09753202804
12256,405P102428,405,P1,02428,0,A,0.200000002980232,A,0,0.200000002980232,I,2021/12/31 00:00:00+00,{B0F52182-6DE1-4415-B4CD-F30C45993E7A},1131.11820525932
